cve_ageb,alcaldia,POBTOT,PHOG_IND,P3YM_HLI,P3HLINHE,P_3YMAS,P_15YMAS,PSINDER,VIVPARH_CV,VPH_INTER,VPH_PC,VPH_CEL,VPH_RADIO,VPH_STVP,VPH_SPMVPI,VPH_SINTIC,GRAPROES,im_conapo,gm_conapo,grs_coneval,tasa_phog_ind,tasa_p3ym_hli,tasa_p3hlinhe,tasa_psinder,tasa_vph_inter,tasa_vph_pc,tasa_vph_cel,tasa_vph_radio,tasa_vph_stvp,tasa_vph_spmvpi,tasa_vph_sintic,gm_orden,grs_orden
0901000011716,Álvaro Obregón,7042,408,170,,6811,5512,2016,1859,1181,768,1660,1470,644,279,9,9.34,0.9384,Medio,Bajo,5.79,2.5,,28.63,63.53,41.31,89.3,79.07,34.64,15.01,0.48,3.0,2.0
0901000012150,Álvaro Obregón,4588,54,26,0,4487,3903,1120,1610,1290,1054,1497,1264,993,695,,12.29,0.9623,Bajo,Muy bajo,1.18,0.58,0.0,24.41,80.12,65.47,92.98,78.51,61.68,43.17,,2.0,1.0
0901000011133,Álvaro Obregón,2203,16,25,,2179,1952,485,766,733,703,746,594,568,545,0,14.95,0.9755,Muy bajo,Muy bajo,0.73,1.15,,22.02,95.69,91.78,97.39,77.55,74.15,71.15,0.0,1.0,1.0
0901000011307,Álvaro Obregón,2914,4,86,,2859,2549,544,853,831,796,839,671,768,640,0,14.29,0.9766,Muy bajo,Muy bajo,0.14,3.01,,18.67,97.42,93.32,98.36,78.66,90.04,75.03,0.0,1.0,1.0
0901000010281,Álvaro Obregón,237,0,6,0,234,194,78,68,64,67,68,59,60,48,0,13.6,0.973,Muy bajo,Muy bajo,0.0,2.56,0.0,32.91,94.12,98.53,100.0,86.76,88.24,70.59,0.0,1.0,1.0
0901000012199,Álvaro Obregón,4398,40,18,0,4286,3590,1215,1139,851,661,1072,938,591,381,,10.66,0.9428,Medio,Bajo,0.91,0.42,0.0,27.63,74.71,58.03,94.12,82.35,51.89,33.45,,3.0,2.0
0901000012269,Álvaro Obregón,1809,89,28,0,1755,1443,485,565,459,372,545,472,366,305,3,12.46,0.9584,Bajo,Bajo,4.92,1.6,0.0,26.81,81.24,65.84,96.46,83.54,64.78,53.98,0.53,2.0,2.0
0901000012273,Álvaro Obregón,80,0,,0,78,70,19,20,19,18,20,15,12,8,0,13.17,0.977,Muy bajo,Muy bajo,0.0,,0.0,23.75,95.0,90.0,100.0,75.0,60.0,40.0,0.0,1.0,1.0
0901000011330,Álvaro Obregón,8619,298,137,0,8382,7019,2395,2276,1688,1350,2094,1891,981,715,14,11.0,0.9508,Bajo,Bajo,3.46,1.63,0.0,27.79,74.17,59.31,92.0,83.08,43.1,31.41,0.62,2.0,2.0
090100001181A,Álvaro Obregón,5355,31,17,0,5218,4378,1529,1561,1108,935,1400,1259,759,577,15,10.65,0.9301,Medio,Bajo,0.58,0.33,0.0,28.55,70.98,59.9,89.69,80.65,48.62,36.96,0.96,3.0,2.0
0901000011684,Álvaro Obregón,5661,169,101,0,5511,4619,1608,1553,1173,937,1455,1294,755,582,,11.07,0.956,Bajo,Bajo,2.99,1.83,0.0,28.4,75.53,60.33,93.69,83.32,48.62,37.48,,2.0,2.0
0901000011665,Álvaro Obregón,1940,19,6,0,1893,1619,331,518,374,337,478,478,298,164,,10.52,0.9426,Medio,Bajo,0.98,0.32,0.0,17.06,72.2,65.06,92.28,92.28,57.53,31.66,,3.0,2.0
0901000010578,Álvaro Obregón,6964,248,105,,6798,5789,1661,2006,1586,1147,1832,1759,1168,776,10,11.08,0.9572,Bajo,Bajo,3.56,1.54,,23.85,79.06,57.18,91.33,87.69,58.23,38.68,0.5,2.0,2.0
0901000010597,Álvaro Obregón,3848,218,103,,3752,3211,925,1083,775,554,988,896,470,311,,10.59,0.9475,Bajo,Bajo,5.67,2.75,,24.04,71.56,51.15,91.23,82.73,43.4,28.72,,2.0,2.0
0901000010690,Álvaro Obregón,3546,46,27,0,3481,3089,816,1231,1049,897,1154,998,818,648,,13.03,0.9702,Muy bajo,Muy bajo,1.3,0.78,0.0,23.01,85.22,72.87,93.74,81.07,66.45,52.64,,1.0,1.0
0901000010915,Álvaro Obregón,2776,16,12,0,2730,2442,532,894,849,805,880,771,751,561,,14.56,0.9838,Muy bajo,Muy bajo,0.58,0.44,0.0,19.16,94.97,90.04,98.43,86.24,84.0,62.75,,1.0,1.0
0901000012216,Álvaro Obregón,4171,311,105,,4005,3098,1296,994,577,368,920,799,317,166,,9.04,0.9275,Medio,Medio,7.46,2.62,,31.07,58.05,37.02,92.56,80.38,31.89,16.7,,3.0,3.0
0901000011275,Álvaro Obregón,3017,8,111,,2985,2782,520,802,791,756,791,671,747,585,0,14.05,0.9795,Muy bajo,Muy bajo,0.27,3.72,,17.24,98.63,94.26,98.63,83.67,93.14,72.94,0.0,1.0,1.0
0901000010065,Álvaro Obregón,5548,135,54,0,5413,4696,1494,1837,1207,879,1590,1352,710,408,22,10.55,0.9302,Medio,Bajo,2.43,1.0,0.0,26.93,65.7,47.85,86.55,73.6,38.65,22.21,1.2,3.0,2.0
0901000011063,Álvaro Obregón,3028,41,47,0,2971,2634,590,981,927,889,970,819,805,702,0,14.63,0.9723,Muy bajo,Muy bajo,1.35,1.58,0.0,19.48,94.5,90.62,98.88,83.49,82.06,71.56,0.0,1.0,1.0
0901000011542,Álvaro Obregón,2898,32,30,0,2795,2264,391,889,801,752,867,657,653,645,,13.19,0.9719,Muy bajo,Muy bajo,1.1,1.07,0.0,13.49,90.1,84.59,97.53,73.9,73.45,72.55,,1.0,1.0
0901000012358,Álvaro Obregón,3083,23,41,0,2980,2422,468,826,739,670,799,593,599,556,5,12.76,0.972,Muy bajo,Muy bajo,0.75,1.38,0.0,15.18,89.47,81.11,96.73,71.79,72.52,67.31,0.61,1.0,1.0
0901000012057,Álvaro Obregón,3669,93,37,,3559,2963,936,1007,644,486,915,836,402,243,3,10.06,0.9502,Bajo,Bajo,2.53,1.04,,25.51,63.95,48.26,90.86,83.02,39.92,24.13,0.3,2.0,2.0
0901000012201,Álvaro Obregón,3148,103,25,,3061,2498,740,805,586,396,751,612,451,184,6,9.45,0.9454,Medio,Bajo,3.27,0.82,,23.51,72.8,49.19,93.29,76.02,56.02,22.86,0.75,3.0,2.0
0901000011222,Álvaro Obregón,4628,84,38,0,4528,4038,1028,1424,1136,930,1304,1190,920,618,6,11.9,0.9646,Bajo,Muy bajo,1.82,0.84,0.0,22.21,79.78,65.31,91.57,83.57,64.61,43.4,0.42,2.0,1.0
090100001128A,Álvaro Obregón,2309,28,44,4,2272,2035,375,692,667,629,681,605,593,501,0,14.13,0.9762,Muy bajo,Muy bajo,1.21,1.94,0.18,16.24,96.39,90.9,98.41,87.43,85.69,72.4,0.0,1.0,1.0
0901000011364,Álvaro Obregón,6072,272,113,,5896,4838,1772,1596,1153,755,1446,1276,562,327,9,9.83,0.9477,Bajo,Bajo,4.48,1.92,,29.18,72.24,47.31,90.6,79.95,35.21,20.49,0.56,2.0,2.0
0901000010027,Álvaro Obregón,2510,8,5,0,2456,2168,527,836,720,652,773,658,580,451,,13.51,0.9714,Muy bajo,Muy bajo,0.32,0.2,0.0,21.0,86.12,77.99,92.46,78.71,69.38,53.95,,1.0,1.0
0901000010031,Álvaro Obregón,3440,45,21,0,3371,2897,824,999,771,570,926,795,634,378,3,11.57,0.9571,Bajo,Bajo,1.31,0.62,0.0,23.95,77.18,57.06,92.69,79.58,63.46,37.84,0.3,2.0,2.0
0901000010987,Álvaro Obregón,1969,38,32,,1918,1739,309,785,744,694,765,594,586,556,,14.59,0.9776,Muy bajo,Muy bajo,1.93,1.67,,15.69,94.78,88.41,97.45,75.67,74.65,70.83,,1.0,1.0
0901000010991,Álvaro Obregón,2679,23,40,0,2633,2357,445,882,846,805,864,736,761,630,0,14.81,0.981,Muy bajo,Muy bajo,0.86,1.52,0.0,16.61,95.92,91.27,97.96,83.45,86.28,71.43,0.0,1.0,1.0
0901000011006,Álvaro Obregón,2910,18,28,0,2864,2523,550,938,860,813,897,810,691,573,,14.03,0.9712,Muy bajo,Muy bajo,0.62,0.98,0.0,18.9,91.68,86.67,95.63,86.35,73.67,61.09,,1.0,1.0
0901000011769,Álvaro Obregón,9985,337,140,,9646,7847,2681,2630,2004,1506,2449,2215,838,877,12,10.83,0.9532,Bajo,Bajo,3.38,1.45,,26.85,76.2,57.26,93.12,84.22,31.86,33.35,0.46,2.0,2.0
0901000012042,Álvaro Obregón,3847,142,63,0,3693,2977,1343,1054,686,437,959,835,429,185,9,9.37,0.9281,Medio,Bajo,3.69,1.71,0.0,34.91,65.09,41.46,90.99,79.22,40.7,17.55,0.85,3.0,2.0
0901000010718,Álvaro Obregón,969,11,3,0,957,848,197,349,296,266,337,285,217,170,0,12.82,0.9765,Muy bajo,Muy bajo,1.14,0.31,0.0,20.33,84.81,76.22,96.56,81.66,62.18,48.71,0.0,1.0,1.0
0901000011951,Álvaro Obregón,6009,160,58,0,5713,4450,1242,1626,1049,488,1467,1264,741,391,7,8.87,0.9438,Medio,Medio,2.66,1.02,0.0,20.67,64.51,30.01,90.22,77.74,45.57,24.05,0.43,3.0,3.0
