encuesta,clave,valor,nota
ageb,cdmx_phog_ind,3.0755,"% de población en hogares indígenas, suma de AGEB urbanas"
ageb,cdmx_phog_ind_oficial,3.1394,fila de total de la entidad del tabulado
ageb,cdmx_viv_internet,75.9751,"% de viviendas con internet, suma de AGEB urbanas"
ageb,cdmx_viv_internet_oficial,75.7278,fila de total de la entidad del tabulado
ageb,pob_igual_conapo,100.0000,% de AGEB con población idéntica a la de CONAPO
ageb,pob_igual_coneval,100.0000,% de AGEB con población idéntica a la de CONEVAL
ageb,sin_internet_dentro_medio_punto,97.6190,% de AGEB donde viviendas sin internet difiere de CONEVAL en 0.5 pp o menos
ageb,viv_igual_coneval,99.4606,% de AGEB con el mismo total de viviendas con características que CONEVAL
censo,pob_autoads_6mas,19.4962,% de personas de 6 años o más que se consideran indígenas
censo,pob_hli_6mas,6.3915,% de personas de 6 años o más que hablan lengua indígena
censo,viv_celular,88.1479,"% de viviendas particulares habitadas, muestra ampliada"
censo,viv_computadora,38.4009,"% de viviendas particulares habitadas, muestra ampliada"
censo,viv_internet,53.9161,"% de viviendas particulares habitadas, muestra ampliada"
censo,viv_radio,69.2559,"% de viviendas particulares habitadas, muestra ampliada"
censo,viv_streaming,19.2060,"% de viviendas particulares habitadas, muestra ampliada"
censo,viv_telefono,37.6924,"% de viviendas particulares habitadas, muestra ampliada"
censo,viv_televisor,91.3229,"% de viviendas particulares habitadas, muestra ampliada"
censo,viv_tv_paga,43.4936,"% de viviendas particulares habitadas, muestra ampliada"
censo,viv_videojuegos,11.7233,"% de viviendas particulares habitadas, muestra ampliada"
endutih,escucha_radio_6mas,29.7605,% de personas de 6 años o más que escucharon la radio en la última semana
endutih,net_habla_lengua,4.6803,% de las personas usuarias de internet que hablan lengua indígena
endutih,net_se_considera,26.6132,% de las personas usuarias de internet que se consideran indígenas
endutih,usa_celular_6mas,84.6451,% de personas de 6 años o más que usan celular
endutih,usa_computadora_6mas,38.1445,% de personas de 6 años o más que usan computadora
endutih,usa_internet_6mas,86.0526,% de personas de 6 años o más que usan internet
enigh,hog_celular_2020,90.1202,"% de hogares (con al menos una persona de 6+), ponderado con el factor"
enigh,hog_celular_2022,92.3126,"% de hogares (con al menos una persona de 6+), ponderado con el factor"
enigh,hog_celular_2024,94.7941,"% de hogares (con al menos una persona de 6+), ponderado con el factor"
enigh,hog_internet_2020,53.6202,"% de hogares (con al menos una persona de 6+), ponderado con el factor"
enigh,hog_internet_2022,60.5949,"% de hogares (con al menos una persona de 6+), ponderado con el factor"
enigh,hog_internet_2024,70.4706,"% de hogares (con al menos una persona de 6+), ponderado con el factor"
enigh,hog_tv_paga_2020,42.7164,"% de hogares (con al menos una persona de 6+), ponderado con el factor"
enigh,hog_tv_paga_2022,41.8340,"% de hogares (con al menos una persona de 6+), ponderado con el factor"
enigh,hog_tv_paga_2024,37.4134,"% de hogares (con al menos una persona de 6+), ponderado con el factor"
enigh,pers_internet_2020,57.0131,% de personas de 6+ en hogares con internet
enigh,pers_internet_2022,63.9506,% de personas de 6+ en hogares con internet
enigh,pers_internet_2024,73.5993,% de personas de 6+ en hogares con internet
lenguas,hli_nacidos_fuera_1990,83.8290,% de hablantes de la CDMX nacidos fuera de la ciudad
lenguas,hli_nacidos_fuera_2000,76.3610,% de hablantes de la CDMX nacidos fuera de la ciudad
lenguas,hli_nacidos_fuera_2010,86.6707,% de hablantes de la CDMX nacidos fuera de la ciudad
lenguas,hli_nacidos_fuera_2015,83.7138,% de hablantes de la CDMX nacidos fuera de la ciudad
lenguas,hli_nacidos_fuera_2020,82.2800,% de hablantes de la CDMX nacidos fuera de la ciudad
