clave_historica,clave_inali,nota
1041,0211,náhuatl
0331,0501,otomí
0450,0516,mixteco
0452,0516,mixteco
0453,0516,mixteco
0455,0516,mixteco
0491,0509,mazateco
0400,0513,zapoteco
0422,0513,zapoteco
0332,0502,mazahua
9999,9000,no especificado
0711,0701,totonaco
0712,0702,tepehua
0811,0901,mixe
0823,0907,zoque
0200,0507,chinanteco
0211,0507,chinanteco (en el clasificador histórico 0211 NO es náhuatl)
0933,0606,tseltal
0922,0602,maya
0611,0508,tlapaneco
1111,0801,tarasco
0911,0601,huasteco
0934,0607,tsotsil
0494,0512,popoloca
1021,0205,tarahumara
1022,0208,mayo
1023,0207,yaqui
1031,0209,cora
1032,0210,huichol
0471,0518,triqui
0341,0503,matlatzinca
0481,0515,amuzgo
0461,0517,cuicateco
0511,1101,huave
0936,0612,chuj
0931,0604,ch'ol
0492,0511,chocholteco
0981,0614,q'eqchi'
0935,0613,tojolabal
0441,0514,chatino
0971,0615,k'iche'
0951,0611,qato'k
0941,0618,mam
0961,0608,q'anjob'al
0112,0305,kiliwa
0321,0506,chichimeco jonaz
5551,8000,otras lenguas indígenas de América
5542,8000,otras lenguas indígenas de América
5558,8000,otras lenguas indígenas de América
5024,9000,no especificado
1013,9020,tepehuano insuficientemente especificado
1311,9010,chontal insuficientemente especificado (en 2010 va a 9010 o a 1001)
