lengua,agrupacion,variante,cve_ent,cve_mun,nom_mun,compartido,parte
0101,Kickapoo,Kickapoo,005,020,Múzquiz,0,1.0
0209,cora,cora de Rosarito,018,010,Rosamorada,1,0.5
0209,cora,cora de Dolores,018,009,Del,1,0.2
0209,cora,cora meseño,018,009,Del Nayar [El Nayar],1,0.2
0209,cora,cora de Jesús María,018,009,Del Nayar [El Nayar],1,0.2
0209,cora,cora francisqueño,018,009,Del,1,0.2
0209,cora,cora tereseño,010,014,Mezquital,0,1.0
0209,cora,cora tereseño,018,001,Acaponeta,0,1.0
0209,cora,cora tereseño,018,009,Del Nayar [El Nayar],1,0.2
0209,cora,cora presideño,018,011,Ruíz,0,1.0
0209,cora,cora corapeño,018,010,Rosamorada,1,0.5
0206,guarijío,guarijío del norte,008,020,Chínipas,0,1.0
0206,guarijío,guarijío del norte,008,047,Moris,0,1.0
0206,guarijío,guarijío del norte,008,066,Uruachi,0,1.0
0206,guarijío,guarijío del sur,026,003,Álamos,0,1.0
0206,guarijío,guarijío del sur,026,049,Quiriego,0,1.0
0210,huichol,huichol del norte,018,009,Del Nayar [El Nayar],0,1.0
0210,huichol,huichol del norte,018,019,La Yesca,0,1.0
0210,huichol,huichol del norte,018,010,Rosamorada,0,1.0
0210,huichol,huichol del norte,018,011,Ruíz,0,1.0
0210,huichol,huichol del norte,018,012,San Blas,0,1.0
0210,huichol,huichol del norte,018,015,Santiago Ixcuintla,0,1.0
0210,huichol,huichol del norte,010,014,Mezquital,0,1.0
0210,huichol,huichol del sur,014,019,Bolaños,0,1.0
0210,huichol,huichol del sur,014,076,San Martín de Bolaños,0,1.0
0210,huichol,huichol del sur,014,115,Villa Guerrero,0,1.0
0210,huichol,huichol del este,014,061,Mezquitic,0,1.0
0210,huichol,huichol del oeste,014,042,Huejuquilla el Alto,0,1.0
0208,mayo,mayo,026,003,Álamos,0,1.0
0208,mayo,mayo,026,071,Benito Juárez,0,1.0
0208,mayo,mayo,026,018,Cajeme,0,1.0
0208,mayo,mayo,026,026,Etchojoa,0,1.0
0208,mayo,mayo,026,033,Huatabampo,0,1.0
0208,mayo,mayo,026,042,Navojoa,0,1.0
0208,mayo,mayo,026,072,San Ignacio Río Muerto,0,1.0
