familia,agrupacion,variante,autodenominacion,entidades,municipios,n_localidades
álgica,Kickapoo,Kickapoo,Kickapoo,COAHUILA DE ZARAGOZA,COAHUILA DE ZARAGOZA: Múzquiz,2
yuto-nahua,cora,cora de Rosarito,rosaríìtu,NAYARIT,NAYARIT: Rosamorada,1
yuto-nahua,cora,cora de Dolores,wachí hapwa,NAYARIT,NAYARIT: Del | NAYARIT: Nayar [El Nayar],1
yuto-nahua,cora,cora meseño,yaúhke'ena,NAYARIT,NAYARIT: Del Nayar [El Nayar],149
yuto-nahua,cora,cora de Jesús María,chwísita'na,NAYARIT,NAYARIT: Del Nayar [El Nayar],2
yuto-nahua,cora,cora francisqueño,kwáaxa'ata,NAYARIT,NAYARIT: Del | NAYARIT: Nayar [El Nayar],1
yuto-nahua,cora,cora tereseño,kwéimarusa'na,DURANGO | NAYARIT,DURANGO: Mezquital | NAYARIT: Acaponeta | NAYARIT: Del Nayar [El Nayar],138
yuto-nahua,cora,cora presideño,múxata'ana,NAYARIT,NAYARIT: Ruíz,49
yuto-nahua,cora,cora corapeño,kuráàpa,NAYARIT,NAYARIT: Rosamorada,44
yuto-nahua,guarijío,guarijío del norte,warihó,CHIHUAHUA,CHIHUAHUA: Chínipas | CHIHUAHUA: Moris | CHIHUAHUA: Uruachi,73
yuto-nahua,guarijío,guarijío del sur,makurawe,SONORA,SONORA: Álamos | SONORA: Quiriego,22
yuto-nahua,huichol,huichol del norte,wixárika (del norte),NAYARIT | DURANGO,NAYARIT: Del Nayar [El Nayar] | NAYARIT: La Yesca | NAYARIT: Rosamorada | NAYARIT: Ruíz | NAYARIT: San Blas | NAYARIT: Santiago Ixcuintla | DURANGO: Mezquital,321
yuto-nahua,huichol,huichol del sur,wixárika (del sur),JALISCO,JALISCO: Bolaños | JALISCO: San Martín de Bolaños | JALISCO: Villa Guerrero,92
yuto-nahua,huichol,huichol del este,wixárika (del este),JALISCO,JALISCO: Mezquitic,269
