id,tipo,ambito,anio,autores,titulo,editorial,tema,cobertura,para_que,cautela,url
D-CENSO-2020,Dataset,Nacional,2021,INEGI,"Censo de Población y Vivienda 2020. Cuestionario ampliado: microdatos",INEGI,Microdatos,"Muestra de 4 millones de viviendas, representativa por entidad y municipio","Fuente de los indicadores de conectividad en la vivienda por condición indígena","La muestra ampliada da cifras cercanas pero no idénticas a las del cuestionario básico, que cubre a toda la población",https://www.inegi.org.mx/programas/ccpv/2020/#microdatos
D-CENSO-2020-RESAGEBURB,Dataset,Ciudad de México,2021,INEGI,"Censo de Población y Vivienda 2020. Principales resultados por AGEB y manzana urbana",INEGI,Tabulado,"Manzanas urbanas del país","Fuente del mapa por manzana de la Ciudad de México","Suprime por confidencialidad las manzanas con muy poca población; no publica autoadscripción",https://www.inegi.org.mx/programas/ccpv/2020/#datos_abiertos
D-ENIGH-2020,Dataset,Nacional,2021,INEGI,"Encuesta Nacional de Ingresos y Gastos de los Hogares (ENIGH) 2020. Nueva serie: microdatos",INEGI,Microdatos,"Representativa por entidad","Acceso del hogar a internet y dispositivos por condición indígena, edición 2020","Levantamiento de agosto a noviembre de 2020, durante la pandemia",https://www.inegi.org.mx/programas/enigh/nc/2020/#microdatos
D-ENIGH-2022,Dataset,Nacional,2023,INEGI,"Encuesta Nacional de Ingresos y Gastos de los Hogares (ENIGH) 2022. Nueva serie: microdatos",INEGI,Microdatos,"Representativa por entidad","Acceso del hogar a internet y dispositivos por condición indígena, edición 2022","",https://www.inegi.org.mx/programas/enigh/nc/2022/#microdatos
D-ENIGH-2024,Dataset,Nacional,2025,INEGI,"Encuesta Nacional de Ingresos y Gastos de los Hogares (ENIGH) 2024. Nueva serie: microdatos",INEGI,Microdatos,"Representativa por entidad","Acceso del hogar a internet y dispositivos por condición indígena, edición 2024","En 2024 la computadora se pregunta separada en escritorio y portátil; aquí se juntan para mantener la serie",https://www.inegi.org.mx/programas/enigh/nc/2024/#microdatos
D-ENDUTIH-2025,Dataset,Nacional,2026,INEGI,"Encuesta Nacional sobre Disponibilidad y Uso de Tecnologías de la Información en los Hogares (ENDUTIH) 2025: microdatos",INEGI,Microdatos,"Representativa por entidad y por tamaño de localidad","Uso personal de internet, computadora y celular por condición indígena","Primera edición con preguntas de lengua indígena y autoadscripción (módulo 6.A); no hay serie histórica con ese corte",https://www.inegi.org.mx/programas/dutih/2025/
R-CENSO-2020-TAB,Referencia,Nacional,2021,INEGI,"Censo de Población y Vivienda 2020. Tabulados del cuestionario básico: disponibilidad de bienes y tecnologías de la información en las viviendas",INEGI,Tabulado,"Viviendas particulares habitadas","Cifra nacional oficial de viviendas con internet, celular y computadora contra la que se coteja la muestra","Publica por vivienda, no por condición indígena de las personas",https://www.inegi.org.mx/programas/ccpv/2020/#tabulados
R-ENIGH-2024-TAB,Referencia,Nacional,2025,INEGI,"ENIGH 2024. Presentación de resultados",INEGI,Tabulado,"Hogares","Cifra oficial de hogares con servicios de comunicación","Publica por hogar; el corte por condición indígena de la persona es cálculo propio",https://www.inegi.org.mx/programas/enigh/nc/2024/#tabulados
R-ENDUTIH-2025-COM,Referencia,Nacional,2026,INEGI,"ENDUTIH 2025. Comunicado de prensa y presentación de resultados",INEGI,Comunicado,"Personas de 6 años o más","Cifra nacional oficial de usuarios de internet, celular y computadora","Las cifras oficiales incluyen a toda la población de 6 años o más; aquí se excluye a quien no respondió las preguntas de identidad indígena",https://www.inegi.org.mx/programas/dutih/2025/
R-INEGI-PI,Referencia,Nacional,2022,INEGI,"Estadísticas a propósito del Día Internacional de los Pueblos Indígenas",INEGI,Comunicado,"Población indígena","Contexto sobre las dos definiciones de población indígena del Censo (lengua y autoadscripción)","",https://www.inegi.org.mx/app/saladeprensa/noticia.html?id=7581
R-IFT-BRECHA,Académica,Nacional,2023,"Instituto Federal de Telecomunicaciones","Cobertura y uso de servicios de telecomunicaciones en localidades rurales e indígenas",IFT,Informe,"Localidades rurales e indígenas","Lectura complementaria sobre cobertura de red en localidades indígenas","Mide cobertura de infraestructura, no uso declarado por las personas",https://www.ift.org.mx/usuarios-y-audiencias/cobertura
