anio,nivel,cve,nombre,lengua,lengua_nombre,familia,sexo,num,den,casos,ee,fuente
2015,alcaldia,012,Tlalpan,0204,Tepehuano del sur,yuto-nahua,Mujeres,3.0,342489.0,26957,,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,012,Tlalpan,0205,Tarahumara,yuto-nahua,Hombres,9.0,307584.0,24514,,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,007,Iztapalapa,0205,Tarahumara,yuto-nahua,Hombres,12.0,836632.0,47722,,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,002,Azcapotzalco,0205,Tarahumara,yuto-nahua,Hombres,11.0,180287.0,8814,,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,003,Coyoacán,0205,Tarahumara,yuto-nahua,Mujeres,17.0,310461.0,19170,,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,015,Cuauhtémoc,0205,Tarahumara,yuto-nahua,Hombres,70.0,244811.0,15065,,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,016,Miguel Hidalgo,0205,Tarahumara,yuto-nahua,Mujeres,32.0,191249.0,10731,,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,016,Miguel Hidalgo,0205,Tarahumara,yuto-nahua,Hombres,32.0,160433.0,8977,,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,010,Álvaro Obregón,0205,Tarahumara,yuto-nahua,Hombres,28.0,340293.0,19842,,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,007,Iztapalapa,0207,Yaqui,yuto-nahua,Hombres,35.0,836632.0,47722,,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,015,Cuauhtémoc,0207,Yaqui,yuto-nahua,Mujeres,10.0,269988.0,16823,,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,015,Cuauhtémoc,0207,Yaqui,yuto-nahua,Hombres,2.0,244811.0,15065,,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,005,Gustavo A. Madero,0207,Yaqui,yuto-nahua,Hombres,42.0,531706.0,29250,,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,007,Iztapalapa,0207,Yaqui,yuto-nahua,Mujeres,22.0,911249.0,51766,,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,016,Miguel Hidalgo,0207,Yaqui,yuto-nahua,Hombres,44.0,160433.0,8977,5.4132937144492456e-05,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,012,Tlalpan,0207,Yaqui,yuto-nahua,Mujeres,9.0,342489.0,26957,,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,014,Benito Juárez,0208,Mayo,yuto-nahua,Mujeres,18.0,219013.0,11405,,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,015,Cuauhtémoc,0208,Mayo,yuto-nahua,Mujeres,15.0,269988.0,16823,,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,012,Tlalpan,0208,Mayo,yuto-nahua,Mujeres,18.0,342489.0,26957,,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,012,Tlalpan,0210,Huichol,yuto-nahua,Hombres,17.0,307584.0,24514,,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,003,Coyoacán,0210,Huichol,yuto-nahua,Mujeres,36.0,310461.0,19170,,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,016,Miguel Hidalgo,0210,Huichol,yuto-nahua,Mujeres,27.0,191249.0,10731,,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,012,Tlalpan,0210,Huichol,yuto-nahua,Mujeres,8.0,342489.0,26957,,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,003,Coyoacán,0210,Huichol,yuto-nahua,Hombres,25.0,269097.0,16728,1.1028942936286103e-05,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,014,Benito Juárez,0211,Náhuatl,yuto-nahua,Mujeres,1042.0,219013.0,11405,0.0005416704189475807,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,006,Iztacalco,0211,Náhuatl,yuto-nahua,Mujeres,292.0,199219.0,10107,0.00018934033124400594,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,012,Tlalpan,0211,Náhuatl,yuto-nahua,Hombres,1943.0,307584.0,24514,0.0004769930367433139,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,004,Cuajimalpa de Morelos,0211,Náhuatl,yuto-nahua,Mujeres,516.0,98827.0,9090,0.001124118551616317,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,007,Iztapalapa,0211,Náhuatl,yuto-nahua,Hombres,4141.0,836632.0,47722,0.0004469884596375587,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,013,Xochimilco,0211,Náhuatl,yuto-nahua,Hombres,1892.0,189662.0,16137,0.0016777761818489072,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,002,Azcapotzalco,0211,Náhuatl,yuto-nahua,Hombres,659.0,180287.0,8814,0.0005354640705581776,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,013,Xochimilco,0211,Náhuatl,yuto-nahua,Mujeres,1475.0,207198.0,17066,0.0008507102854671329,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,002,Azcapotzalco,0211,Náhuatl,yuto-nahua,Mujeres,477.0,205484.0,9967,0.00028588385794161154,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,014,Benito Juárez,0211,Náhuatl,yuto-nahua,Hombres,956.0,186974.0,9548,0.0006182303727692974,"Encuesta Intercensal 2015 (INEGI), microdatos"
