anio,lengua,lengua_nombre,tipo,ent,ent_nombre,mun,num,casos
1990,0205,Tarahumara,nacimiento,008,Chihuahua,,50.0,5
1990,0205,Tarahumara,nacimiento,009,Ciudad de México,,50.0,5
1990,0205,Tarahumara,nacimiento,011,Guanajuato,,10.0,1
1990,0205,Tarahumara,nacimiento,032,Zacatecas,,10.0,1
1990,0205,Tarahumara,nacimiento,026,Sonora,,10.0,1
1990,0205,Tarahumara,nacimiento,219,Otro país,,10.0,1
1990,0205,Tarahumara,nacimiento,021,Puebla,,10.0,1
1990,0205,Tarahumara,nacimiento,016,Michoacán,,10.0,1
1990,0207,Yaqui,nacimiento,026,Sonora,,30.0,3
1990,0207,Yaqui,nacimiento,025,Sinaloa,,10.0,1
1990,0207,Yaqui,nacimiento,014,Jalisco,,10.0,1
1990,0208,Mayo,nacimiento,026,Sonora,,10.0,1
1990,0208,Mayo,nacimiento,025,Sinaloa,,10.0,1
1990,0209,Cora,nacimiento,115,Otro país,,60.0,6
1990,0209,Cora,nacimiento,029,Tlaxcala,,10.0,1
1990,0209,Cora,nacimiento,009,Ciudad de México,,10.0,1
1990,0209,Cora,nacimiento,018,Nayarit,,10.0,1
1990,0209,Cora,nacimiento,021,Puebla,,10.0,1
1990,0210,Huichol,nacimiento,014,Jalisco,,70.0,7
1990,0210,Huichol,nacimiento,030,Veracruz,,10.0,1
1990,0210,Huichol,nacimiento,020,Oaxaca,,10.0,1
1990,0211,Náhuatl,nacimiento,021,Puebla,,6800.0,680
1990,0211,Náhuatl,nacimiento,009,Ciudad de México,,4390.0,439
1990,0211,Náhuatl,nacimiento,013,Hidalgo,,4120.0,412
1990,0211,Náhuatl,nacimiento,030,Veracruz,,3880.0,388
1990,0211,Náhuatl,nacimiento,024,San Luis Potosí,,2190.0,219
1990,0211,Náhuatl,nacimiento,012,Guerrero,,1300.0,130
1990,0211,Náhuatl,nacimiento,015,México,,780.0,78
1990,0211,Náhuatl,nacimiento,020,Oaxaca,,600.0,60
1990,0211,Náhuatl,nacimiento,029,Tlaxcala,,310.0,31
1990,0211,Náhuatl,nacimiento,017,Morelos,,250.0,25
1990,0211,Náhuatl,nacimiento,016,Michoacán,,70.0,7
1990,0211,Náhuatl,nacimiento,007,Chiapas,,40.0,4
1990,0211,Náhuatl,nacimiento,011,Guanajuato,,30.0,3
1990,0211,Náhuatl,nacimiento,005,Coahuila,,30.0,3
1990,0211,Náhuatl,nacimiento,001,Aguascalientes,,20.0,2
1990,0211,Náhuatl,nacimiento,999,No especificado,,20.0,2
1990,0211,Náhuatl,nacimiento,014,Jalisco,,20.0,2
1990,0211,Náhuatl,nacimiento,028,Tamaulipas,,20.0,2
1990,0211,Náhuatl,nacimiento,008,Chihuahua,,10.0,1
1990,0211,Náhuatl,nacimiento,032,Zacatecas,,10.0,1
1990,0211,Náhuatl,nacimiento,010,Durango,,10.0,1
1990,0211,Náhuatl,nacimiento,004,Campeche,,10.0,1
1990,0211,Náhuatl,nacimiento,215,Otro país,,10.0,1
1990,0211,Náhuatl,nacimiento,002,Baja California,,10.0,1
1990,0211,Náhuatl,nacimiento,416,Otro país,,10.0,1
1990,0501,Otomí,nacimiento,013,Hidalgo,,6570.0,657
1990,0501,Otomí,nacimiento,015,México,,6050.0,605
1990,0501,Otomí,nacimiento,009,Ciudad de México,,1840.0,184
1990,0501,Otomí,nacimiento,022,Querétaro,,980.0,98
1990,0501,Otomí,nacimiento,021,Puebla,,500.0,50
1990,0501,Otomí,nacimiento,030,Veracruz,,490.0,49
1990,0501,Otomí,nacimiento,020,Oaxaca,,340.0,34
1990,0501,Otomí,nacimiento,016,Michoacán,,130.0,13
1990,0501,Otomí,nacimiento,029,Tlaxcala,,90.0,9
1990,0501,Otomí,nacimiento,024,San Luis Potosí,,70.0,7
1990,0501,Otomí,nacimiento,007,Chiapas,,50.0,5
1990,0501,Otomí,nacimiento,999,No especificado,,30.0,3
1990,0501,Otomí,nacimiento,017,Morelos,,30.0,3
1990,0501,Otomí,nacimiento,012,Guerrero,,30.0,3
1990,0501,Otomí,nacimiento,028,Tamaulipas,,20.0,2
1990,0501,Otomí,nacimiento,011,Guanajuato,,20.0,2
1990,0501,Otomí,nacimiento,014,Jalisco,,10.0,1
1990,0502,Mazahua,nacimiento,015,México,,6060.0,606
1990,0502,Mazahua,nacimiento,009,Ciudad de México,,1020.0,102
1990,0502,Mazahua,nacimiento,016,Michoacán,,800.0,80
1990,0502,Mazahua,nacimiento,021,Puebla,,60.0,6
1990,0502,Mazahua,nacimiento,070,Otro país,,30.0,3
1990,0502,Mazahua,nacimiento,020,Oaxaca,,30.0,3
1990,0502,Mazahua,nacimiento,025,Sinaloa,,20.0,2
1990,0502,Mazahua,nacimiento,012,Guerrero,,20.0,2
1990,0502,Mazahua,nacimiento,027,Tabasco,,10.0,1
1990,0502,Mazahua,nacimiento,029,Tlaxcala,,10.0,1
1990,0502,Mazahua,nacimiento,010,Durango,,10.0,1
1990,0502,Mazahua,nacimiento,999,No especificado,,10.0,1
1990,0502,Mazahua,nacimiento,013,Hidalgo,,10.0,1
1990,0502,Mazahua,nacimiento,022,Querétaro,,10.0,1
1990,0502,Mazahua,nacimiento,007,Chiapas,,10.0,1
1990,0503,Matlatzinca,nacimiento,015,México,,150.0,15
1990,0503,Matlatzinca,nacimiento,009,Ciudad de México,,40.0,4
1990,0503,Matlatzinca,nacimiento,020,Oaxaca,,10.0,1
1990,0506,Chichimeco jonaz,nacimiento,007,Chiapas,,10.0,1
1990,0506,Chichimeco jonaz,nacimiento,030,Veracruz,,10.0,1
1990,0507,Chinanteco,nacimiento,020,Oaxaca,,940.0,94
1990,0507,Chinanteco,nacimiento,030,Veracruz,,50.0,5
1990,0507,Chinanteco,nacimiento,009,Ciudad de México,,10.0,1
1990,0507,Chinanteco,nacimiento,002,Baja California,,10.0,1
1990,0508,Tlapaneco,nacimiento,012,Guerrero,,1260.0,126
1990,0508,Tlapaneco,nacimiento,009,Ciudad de México,,30.0,3
1990,0509,Mazateco,nacimiento,020,Oaxaca,,4200.0,420
1990,0509,Mazateco,nacimiento,030,Veracruz,,120.0,12
1990,0509,Mazateco,nacimiento,009,Ciudad de México,,80.0,8
1990,0509,Mazateco,nacimiento,007,Chiapas,,20.0,2
1990,0509,Mazateco,nacimiento,015,México,,10.0,1
1990,0509,Mazateco,nacimiento,021,Puebla,,10.0,1
1990,0511,Chocholteco,nacimiento,020,Oaxaca,,110.0,11
1990,0511,Chocholteco,nacimiento,021,Puebla,,90.0,9
1990,0511,Chocholteco,nacimiento,009,Ciudad de México,,20.0,2
1990,0513,Zapoteco,nacimiento,020,Oaxaca,,12170.0,1217
1990,0513,Zapoteco,nacimiento,009,Ciudad de México,,700.0,70
1990,0513,Zapoteco,nacimiento,030,Veracruz,,380.0,38
1990,0513,Zapoteco,nacimiento,021,Puebla,,120.0,12
1990,0513,Zapoteco,nacimiento,015,México,,100.0,10
1990,0513,Zapoteco,nacimiento,007,Chiapas,,80.0,8
1990,0513,Zapoteco,nacimiento,012,Guerrero,,40.0,4
1990,0513,Zapoteco,nacimiento,999,No especificado,,40.0,4
1990,0513,Zapoteco,nacimiento,013,Hidalgo,,30.0,3
1990,0513,Zapoteco,nacimiento,004,Campeche,,20.0,2
1990,0513,Zapoteco,nacimiento,032,Zacatecas,,10.0,1
1990,0513,Zapoteco,nacimiento,023,Quintana Roo,,10.0,1
