anio,nivel,cve,nombre,poblacion,sexo,num,den,casos,ee,cota,fuente,universo
1990,alcaldia,002,Azcapotzalco,hablantes5,Total,4321.0,428511.0,,,censo,"Censo General de Población y Vivienda 1990 (INEGI), ITER",Población de 5 años y más (estimada con la muestra del 10 %)
1990,alcaldia,002,Azcapotzalco,monolingues,Total,10.0,4321.0,,,censo,"Censo General de Población y Vivienda 1990 (INEGI), ITER",Hablantes de lengua indígena
1990,alcaldia,003,Coyoacán,hablantes5,Total,9018.0,581316.0,,,censo,"Censo General de Población y Vivienda 1990 (INEGI), ITER",Población de 5 años y más (estimada con la muestra del 10 %)
1990,alcaldia,003,Coyoacán,monolingues,Total,31.0,9018.0,,,censo,"Censo General de Población y Vivienda 1990 (INEGI), ITER",Hablantes de lengua indígena
1990,alcaldia,004,Cuajimalpa de Morelos,hablantes5,Total,983.0,105789.0,,,censo,"Censo General de Población y Vivienda 1990 (INEGI), ITER",Población de 5 años y más (estimada con la muestra del 10 %)
1990,alcaldia,004,Cuajimalpa de Morelos,monolingues,Total,4.0,983.0,,,censo,"Censo General de Población y Vivienda 1990 (INEGI), ITER",Hablantes de lengua indígena
1990,alcaldia,005,Gustavo A. Madero,hablantes5,Total,13268.0,1137285.0,,,censo,"Censo General de Población y Vivienda 1990 (INEGI), ITER",Población de 5 años y más (estimada con la muestra del 10 %)
1990,alcaldia,005,Gustavo A. Madero,monolingues,Total,55.0,13268.0,,,censo,"Censo General de Población y Vivienda 1990 (INEGI), ITER",Hablantes de lengua indígena
1990,alcaldia,006,Iztacalco,hablantes5,Total,4715.0,401777.0,,,censo,"Censo General de Población y Vivienda 1990 (INEGI), ITER",Población de 5 años y más (estimada con la muestra del 10 %)
1990,alcaldia,006,Iztacalco,monolingues,Total,7.0,4715.0,,,censo,"Censo General de Población y Vivienda 1990 (INEGI), ITER",Hablantes de lengua indígena
1990,alcaldia,007,Iztapalapa,hablantes5,Total,21346.0,1316840.0,,,censo,"Censo General de Población y Vivienda 1990 (INEGI), ITER",Población de 5 años y más (estimada con la muestra del 10 %)
1990,alcaldia,007,Iztapalapa,monolingues,Total,78.0,21346.0,,,censo,"Censo General de Población y Vivienda 1990 (INEGI), ITER",Hablantes de lengua indígena
