anio,lengua,lengua_nombre,variante,cve_ent,certeza,num
1990,0205,Tarahumara,tarahumara del centro,008,estimada,20.3
1990,0205,Tarahumara,tarahumara de Cumbres,008,estimada,11.9
1990,0205,Tarahumara,tarahumara del norte,008,estimada,9.1
1990,0205,Tarahumara,tarahumara del oeste,008,estimada,5.1
1990,0205,Tarahumara,tarahumara del sur,008,estimada,3.5
1990,0205,Tarahumara,,009,sin,50.0
1990,0205,Tarahumara,,011,sin,10.0
1990,0205,Tarahumara,,016,sin,10.0
1990,0205,Tarahumara,,021,sin,10.0
1990,0205,Tarahumara,,026,sin,10.0
1990,0205,Tarahumara,,032,sin,10.0
1990,0205,Tarahumara,,219,sin,10.0
1990,0207,Yaqui,,014,sin,10.0
1990,0207,Yaqui,,025,sin,10.0
1990,0207,Yaqui,yaqui,026,unica,30.0
1990,0208,Mayo,mayo,025,unica,10.0
1990,0208,Mayo,mayo,026,unica,10.0
1990,0209,Cora,cora tereseño,018,estimada,1.7
1990,0209,Cora,cora de Dolores,018,estimada,1.6
1990,0209,Cora,cora de Jesús María,018,estimada,1.6
1990,0209,Cora,cora francisqueño,018,estimada,1.6
1990,0209,Cora,cora meseño,018,estimada,1.6
1990,0209,Cora,cora corapeño,018,estimada,0.8
1990,0209,Cora,cora de Rosarito,018,estimada,0.8
1990,0209,Cora,cora presideño,018,estimada,0.4
1990,0209,Cora,,115,sin,60.0
1990,0209,Cora,,009,sin,10.0
1990,0209,Cora,,021,sin,10.0
1990,0209,Cora,,029,sin,10.0
1990,0210,Huichol,huichol del este,014,estimada,52.0
1990,0210,Huichol,huichol del sur,014,estimada,14.3
1990,0210,Huichol,huichol del oeste,014,estimada,3.8
1990,0210,Huichol,,020,sin,10.0
1990,0210,Huichol,,030,sin,10.0
1990,0211,Náhuatl,mexicano de la Huasteca hidalguense,013,estimada,3826.5
1990,0211,Náhuatl,"náhuatl de la Sierra, noreste de Puebla",021,estimada,2218.1
1990,0211,Náhuatl,náhuatl central de Veracruz,030,estimada,1941.0
1990,0211,Náhuatl,"náhuatl de la Sierra negra, norte",021,estimada,1768.1
1990,0211,Náhuatl,náhuatl de la Huasteca veracruzana,030,estimada,1454.2
1990,0211,Náhuatl,náhuatl del noroeste central,021,estimada,1031.4
1990,0211,Náhuatl,náhuatl del centro de Puebla,021,estimada,866.7
1990,0211,Náhuatl,"náhuatl de la Sierra negra, sur",021,estimada,564.1
1990,0211,Náhuatl,mexicano del centro alto,015,estimada,543.7
1990,0211,Náhuatl,náhuatl del Istmo,030,estimada,363.1
1990,0211,Náhuatl,náhuatl del noroeste central,013,estimada,293.5
1990,0211,Náhuatl,náhuatl de la Sierra oeste de Puebla,021,estimada,254.1
1990,0211,Náhuatl,mexicano del centro,015,estimada,235.5
1990,0211,Náhuatl,mexicano de Puente de Ixtla,017,estimada,129.3
1990,0211,Náhuatl,náhuatl del Istmo bajo,030,estimada,121.7
1990,0211,Náhuatl,mexicano de Temixco,017,estimada,83.9
1990,0211,Náhuatl,mexicano del oriente de Puebla,021,estimada,60.5
1990,0211,Náhuatl,náhuatl alto del norte de Puebla,021,estimada,25.4
1990,0211,Náhuatl,mexicano central bajo,017,estimada,24.0
1990,0211,Náhuatl,mexicano de Tetela del Volcán,017,estimada,12.8
1990,0211,Náhuatl,mexicano de Guerrero,021,estimada,11.7
1990,0211,Náhuatl,mexicano del centro bajo,015,estimada,0.8
1990,0211,Náhuatl,,009,sin,4390.0
