clave,variante,agrupacion,familia,hablantes_2000
060901,Akateko2 ,Akateko,Maya,
051504,amuzgo alto del este,amuzgo,Oto-mangue,3482.0
051503,amuzgo bajo del este,amuzgo,Oto-mangue,897.0
051501,amuzgo del norte,amuzgo,Oto-mangue,19903.0
051502,amuzgo del sur,amuzgo,Oto-mangue,12703.0
061901,Awakateko,Awakateko,Maya,3.0
090501,ayapaneco,ayapaneco,Mixe-zoque,8.0
051403,chatino central,chatino,Oto-mangue,16047.0
051406,chatino de Zacatepec,chatino,Oto-mangue,453.0
051401,chatino occidental alto,chatino,Oto-mangue,8491.0
051402,chatino occidental bajo,chatino,Oto-mangue,2640.0
051405,chatino oriental alto,chatino,Oto-mangue,1796.0
051404,chatino oriental bajo,chatino,Oto-mangue,8941.0
050709,chianateco del oeste central bajo,chinanteco,Oto-mangue,1853.0
050601,chichimeco jonaz,chichimeco jonaz,Oto-mangue,1362.0
050711,chinanteco central *,chinanteco,Oto-mangue,21144.0
050702,chinanteco central bajo,chinanteco,Oto-mangue,442.0
050706,chinanteco de la Sierra *,chinanteco,Oto-mangue,6298.0
050707,chinanteco del noroeste,chinanteco,Oto-mangue,1715.0
050701,chinanteco del norte *,chinanteco,Oto-mangue,37900.0
050708,chinanteco del oeste,chinanteco,Oto-mangue,3586.0
050705,chinanteco del oeste central alto,chinanteco,Oto-mangue,7411.0
050703,chinanteco del sureste alto,chinanteco,Oto-mangue,3136.0
050704,chinanteco del sureste bajo,chinanteco,Oto-mangue,10670.0
050710,chinanteco del sureste medio *,chinanteco,Oto-mangue,11840.0
051103,chocholteco del este,chocholteco,Oto-mangue,180.0
051101,chocholteco del oeste,chocholteco,Oto-mangue,62.0
051102,chocholteco del sur,chocholteco,Oto-mangue,200.0
060401,ch'ol del noroeste,ch'ol,Maya,117379.0
060402,ch'ol del sureste,ch'ol,Maya,27199.0
100101,chontal de Oaxaca alto *,chontal de Oaxaca,Chontal de Oaxaca,2197.0
100102,chontal de Oaxaca bajo *,chontal de Oaxaca,Chontal de Oaxaca,223.0
100103,chontal de Oaxaca de la costa,chontal de Oaxaca,Chontal de Oaxaca,1060.0
060501,chontal de Tabasco central,chontal de Tabasco,Maya,14438.0
060502,chontal de Tabasco del este,chontal de Tabasco,Maya,13206.0
060504,chontal de Tabasco del norte,chontal de Tabasco,Maya,3894.0
060503,chontal de Tabasco del sureste,chontal de Tabasco,Maya,4976.0
061201,Chuj,Chuj,Maya,1771.0
020908,cora corapeño,cora,Yuto-nahua,993.0
020902,cora de Dolores,cora,Yuto-nahua,241.0
020904,cora de Jesús María,cora,Yuto-nahua,898.0
020901,cora de Rosarito,cora,Yuto-nahua,102.0
020905,cora francisqueño,cora,Yuto-nahua,211.0
020903,cora meseño *,cora,Yuto-nahua,5984.0
020907,cora presideño,cora,Yuto-nahua,1047.0
020906,cora tereseño *,cora,Yuto-nahua,3878.0
030301,cucapá,cucapá,Cochimí-yumana,119.0
051701,cuicateco del centro *,cuicateco,Oto-mangue,8675.0
051702,cuicateco del norte *,cuicateco,Oto-mangue,1503.0
051703,cuicateco del oriente *,cuicateco,Oto-mangue,1641.0
020601,guarijío del norte,guarijío,Yuto-nahua,696.0
020602,guarijío del sur,guarijío,Yuto-nahua,617.0
060103,huasteco de oriente,huasteco,Maya,5964.0
060102,huasteco del centro,huasteco,Maya,41888.0
060101,huasteco del occidente,huasteco,Maya,84092.0
110102,huave del este,huave,Huave,2795.0
110101,huave del oeste,huave,Huave,9371.0
021003,huichol del este,huichol,Yuto-nahua,6340.0
021001,huichol del norte,huichol,Yuto-nahua,8743.0
021004,huichol del oeste,huichol,Yuto-nahua,303.0
021002,huichol del sur,huichol,Yuto-nahua,2130.0
051001,ixcateco,ixcateco,Oto-mangue,21.0
062001,Ixil chajuleño,Ixil,Maya,52.0
062002,Ixil nebajeño,Ixil,Maya,12.0
061001,Jakalteko,Jakalteko,Maya,504.0
061601,Kaqchikel,Kaqchikel,Maya,35.0
061503,K'iche' (central) *,K’iche’,Maya,65.0
061502,K'iche' (occidental) *,K’iche’,Maya,65.0
061501,K'iche' (oriental) *,K’iche’,Maya,96.0
010101,Kickapoo,Kickapoo,Álgica,105.0
030501,kiliwa,kiliwa,Cochimí-yumana,29.0
030201,ku'ahl 3,ku'ahl,Cochimí-yumana,
030401,kumiai,kumiai,Cochimí-yumana,221.0
060301,lacandón,lacandón,Maya,563.0
061801,Mam de la frontera,Mam,Maya,949.0
061804,Mam de la Sierra,Mam,Maya,1788.0
061802,Mam del norte *,Mam,Maya,1755.0
061805,Mam del Soconusco,Mam,Maya,2196.0
061803,Mam del sur *,Mam,Maya,1289.0
050301,matlatzinca,matlatzinca,Oto-mangue,645.0
060201,maya,maya,Maya,734611.0
020801,mayo,mayo,Yuto-nahua,32869.0
050202,mazahua de occidente *,mazahua,Oto-mangue,26592.0
050201,mazahua de oriente *,mazahua,Oto-mangue,74006.0
050915,mazateco de Acatepec,mazateco,Oto-mangue,1038.0
050906,mazateco de Eloxochitlán,mazateco,Oto-mangue,3384.0
050909,mazateco de Huehuetlán,mazateco,Oto-mangue,1169.0
050911,mazateco de la presa alto,mazateco,Oto-mangue,20502.0
050902,mazateco de la presa bajo,mazateco,Oto-mangue,8593.0
050914,mazateco de Ocopetatillo,mazateco,Oto-mangue,757.0
