lengua,agrupacion,variante,cve_ent,peso,n_municipios,compartidos
0101,Kickapoo,Kickapoo,005,0.0,1,0
0201,pápago,pápago,026,83.0,3,0
0202,pima,pima del este,026,645.0,1,0
0202,pima,pima del norte,008,457.0,2,0
0202,pima,pima del sur,008,3.0,1,0
0203,tepehuano del norte,tepehuano del norte,008,9128.0,2,0
0204,tepehuano del sur,tepehuano del sur alto,010,3798.0,1,0
0204,tepehuano del sur,tepehuano del sur alto,018,2078.0,2,0
0204,tepehuano del sur,tepehuano del sur alto,025,500.0,1,0
0204,tepehuano del sur,tepehuano del sur bajo,010,16637.0,2,1
0204,tepehuano del sur,tepehuano del sur bajo,032,701.0,1,0
0204,tepehuano del sur,tepehuano del sur central,010,15791.0,1,1
0205,tarahumara,tarahumara de Cumbres,008,17039.5,2,2
0205,tarahumara,tarahumara del centro,008,29124.5,5,1
0205,tarahumara,tarahumara del norte,008,13049.0,6,0
0205,tarahumara,tarahumara del oeste,008,7331.0,5,1
0205,tarahumara,tarahumara del sur,008,5055.0,1,0
0206,guarijío,guarijío del norte,008,470.0,3,0
0206,guarijío,guarijío del sur,026,2432.0,2,0
0207,yaqui,yaqui,026,13361.0,5,0
0208,mayo,mayo,025,6962.0,5,0
0208,mayo,mayo,026,19453.0,7,0
0209,cora,cora corapeño,018,2706.5,1,1
0209,cora,cora de Dolores,018,5046.8,1,1
0209,cora,cora de Jesús María,018,5046.8,1,1
0209,cora,cora de Rosarito,018,2706.5,1,1
0209,cora,cora francisqueño,018,5046.8,1,1
0209,cora,cora meseño,018,5046.8,1,1
0209,cora,cora presideño,018,1338.0,1,0
0209,cora,cora tereseño,010,359.0,1,0
0209,cora,cora tereseño,018,5455.8,2,1
0210,huichol,huichol del este,014,15128.0,1,0
0210,huichol,huichol del norte,010,2801.0,1,0
0210,huichol,huichol del norte,018,18434.0,6,0
0210,huichol,huichol del oeste,014,1095.0,1,0
0210,huichol,huichol del sur,014,4148.0,3,0
0211,náhuatl,mexicano alto de occidente,018,929.0,2,0
0211,náhuatl,mexicano bajo de occidente,006,1185.0,5,0
0211,náhuatl,mexicano central bajo,017,1166.0,2,0
0211,náhuatl,mexicano central de occidente,016,6124.0,4,0
0211,náhuatl,mexicano de Guerrero,012,122263.0,21,0
0211,náhuatl,mexicano de Guerrero,021,761.0,1,0
0211,náhuatl,mexicano de Puente de Ixtla,017,6270.0,1,0
0211,náhuatl,mexicano de Temixco,017,4067.0,2,0
0211,náhuatl,mexicano de Tetela del Volcán,017,621.0,1,0
0211,náhuatl,mexicano de la Huasteca hidalguense,013,220556.0,14,0
0211,náhuatl,mexicano de occidente,014,477.0,1,0
0211,náhuatl,mexicano del centro,015,4271.0,3,0
0211,náhuatl,mexicano del centro alto,009,2002.0,1,0
0211,náhuatl,mexicano del centro alto,015,9859.0,9,0
0211,náhuatl,mexicano del centro bajo,015,15.0,1,0
0211,náhuatl,mexicano del noroeste,010,1064.0,1,0
0211,náhuatl,mexicano del oriente,027,389.0,2,0
0211,náhuatl,mexicano del oriente central,029,20121.0,8,0
0211,náhuatl,mexicano del oriente de Puebla,021,3925.0,2,0
0211,náhuatl,náhuatl alto del norte de Puebla,021,1646.0,2,0
0211,náhuatl,náhuatl central de Veracruz,030,149056.0,21,0
0211,náhuatl,náhuatl de Oaxaca,020,7331.0,5,0
0211,náhuatl,náhuatl de la Huasteca potosina,024,109108.0,14,0
0211,náhuatl,náhuatl de la Huasteca veracruzana,030,111672.0,20,0
0211,náhuatl,"náhuatl de la Sierra negra, norte",021,114722.5,12,1
0211,náhuatl,"náhuatl de la Sierra negra, sur",021,36602.5,5,1
0211,náhuatl,náhuatl de la Sierra oeste de Puebla,021,16486.0,5,0
0211,náhuatl,"náhuatl de la Sierra, noreste de Puebla",021,143922.0,25,0
0211,náhuatl,náhuatl del Istmo,030,27882.0,4,0
0211,náhuatl,náhuatl del Istmo bajo,030,9347.0,2,0
0211,náhuatl,náhuatl del centro de Puebla,021,56239.0,19,0
0211,náhuatl,náhuatl del noroeste central,013,16917.0,1,0
0211,náhuatl,náhuatl del noroeste central,021,66923.0,11,0
0301,paipai,paipai,002,245.0,1,0
0302,ku'ahl,ku'ahl,002,0.0,1,0
0303,cucapá,cucapá,002,0.0,1,0
0303,cucapá,cucapá,026,0.0,1,0
0304,kumiai,kumiai,002,205.0,2,0
0305,kiliwa,kiliwa,002,27.0,1,0
0401,seri,seri,026,916.0,2,0
0501,otomí,otomí bajo del noroeste,022,4158.0,1,1
0501,otomí,otomí de Ixtenco,029,356.0,1,0
0501,otomí,otomí de la Sierra,013,15447.0,4,0
0501,otomí,otomí de la Sierra,021,6202.0,12,0
0501,otomí,otomí de la Sierra,030,18462.0,11,0
0501,otomí,otomí del Valle del Mezquital,013,80787.0,35,0
0501,otomí,otomí del centro,015,84303.0,27,0
0501,otomí,otomí del noroeste,011,460.0,5,0
0501,otomí,otomí del noroeste,022,12208.0,9,1
0501,otomí,otomí del oeste,016,211.0,1,0
0501,otomí,otomí del oeste del Valle del Mezquital,013,3232.0,2,0
0502,mazahua,mazahua de occidente,015,17675.0,3,2
0502,mazahua,mazahua de occidente,016,684.0,1,1
0502,mazahua,mazahua de oriente,015,72036.0,13,2
0502,mazahua,mazahua de oriente,016,732.0,4,1
0503,matlatzinca,matlatzinca,015,2020.0,1,0
0504,tlahuica,tlahuica,015,159.0,1,0
0505,pame,pame del centro,024,12863.0,4,0
0505,pame,pame del norte,024,149.0,3,0
0506,chichimeco jonaz,chichimeco jonaz,011,2653.0,1,0
0507,chinanteco,chianateco del oeste central bajo,020,2681.0,1,1
0507,chinanteco,chinanteco central,020,18582.5,6,5
0507,chinanteco,chinanteco central bajo,020,3919.0,1,1
0507,chinanteco,chinanteco de la Sierra,020,8313.0,5,1
0507,chinanteco,chinanteco del noroeste,020,1721.0,2,0
0507,chinanteco,chinanteco del norte,020,38416.5,6,2
0507,chinanteco,chinanteco del norte,030,10651.0,6,0
0507,chinanteco,chinanteco del oeste,020,4397.0,1,0
0507,chinanteco,chinanteco del oeste central alto,020,2681.0,1,1
0507,chinanteco,chinanteco del sureste alto,020,1782.0,1,1
0507,chinanteco,chinanteco del sureste bajo,020,12721.0,1,0
0507,chinanteco,chinanteco del sureste medio,020,9547.0,3,1
0507,chinanteco,chinanteco del sureste medio,030,753.0,1,0
0508,tlapaneco,tlapaneco central bajo,012,32375.0,3,1
0508,tlapaneco,tlapaneco del centro,012,3905.0,1,1
0508,tlapaneco,tlapaneco del este,012,10046.5,4,1
0508,tlapaneco,tlapaneco del noroeste alto,012,6269.0,1,1
0508,tlapaneco,tlapaneco del noroeste bajo,012,6269.0,1,1
0508,tlapaneco,tlapaneco del norte,012,25098.5,4,3
0508,tlapaneco,tlapaneco del oeste,012,216.0,1,0
0508,tlapaneco,tlapaneco del sur,012,426.0,2,0
0508,tlapaneco,tlapaneco del suroeste,012,30088.0,5,4
0509,mazateco,mazateco de Acatepec,020,1284.0,1,0
0509,mazateco,mazateco de Eloxochitlán,020,3407.0,1,0
0509,mazateco,mazateco de Huehuetlán,020,694.0,1,0
0509,mazateco,mazateco de Ocopetatillo,020,663.0,1,0
0509,mazateco,mazateco de Puebla,021,2846.0,1,0
0509,mazateco,mazateco de Tecóatl,020,1029.0,1,0
0509,mazateco,mazateco de la presa alto,020,19408.0,2,0
0509,mazateco,mazateco de la presa bajo,020,7861.0,1,0
0509,mazateco,mazateco del centro,020,32514.0,3,0
0509,mazateco,mazateco del este bajo,020,22715.0,2,0
0509,mazateco,mazateco del noreste,020,28621.0,2,0
0509,mazateco,mazateco del norte,020,20287.0,2,0
0509,mazateco,mazateco del norte,030,141.0,1,0
0509,mazateco,mazateco del oeste,020,6367.0,2,0
0509,mazateco,mazateco del sur,020,1042.0,1,0
0509,mazateco,mazateco del sureste,020,3678.0,1,0
0509,mazateco,mazateco del suroeste,020,10233.0,3,0
0510,ixcateco,ixcateco,020,24.0,1,0
0511,chocholteco,chocholteco del este,020,131.0,2,0
0511,chocholteco,chocholteco del oeste,020,51.0,7,0
0511,chocholteco,chocholteco del sur,020,162.0,2,0
0512,popoloca,popoloca de oriente,021,4235.0,4,1
0512,popoloca,popoloca del centro,021,418.0,1,1
0512,popoloca,popoloca del norte,021,5706.0,1,0
0512,popoloca,popoloca del poniente,021,326.0,1,0
0513,zapoteco,zapoteco de Asunción Tlacolulita,020,45.0,1,0
0513,zapoteco,zapoteco de Mixtepec,020,1502.0,1,1
0513,zapoteco,zapoteco de Petapa,020,4694.0,2,0
0513,zapoteco,zapoteco de Quiavicuzas,020,1086.5,1,1
0513,zapoteco,zapoteco de San Antonino el Alto,020,917.0,1,0
0513,zapoteco,zapoteco de San Baltazar Chichicapam,020,2099.0,1,0
0513,zapoteco,zapoteco de San Bartolo Yautepec,020,155.0,1,0
0513,zapoteco,zapoteco de San Felipe Tejalápam,020,79.0,1,0
0513,zapoteco,zapoteco de San Miguel Aloápam,020,1979.0,1,0
0513,zapoteco,zapoteco de San Vicente Coatlán,020,2999.0,1,0
0513,zapoteco,zapoteco de Santa María Quiegolani,020,1567.0,1,0
0513,zapoteco,zapoteco de Santa María Temaxcalapa,020,824.0,1,0
0513,zapoteco,zapoteco de Santiago Laxopa,020,981.0,1,0
0513,zapoteco,zapoteco de Santiago Yaveo,020,1131.0,1,0
0513,zapoteco,"zapoteco de Sierra sur, del noreste alto",020,2510.5,2,1
0513,zapoteco,zapoteco de Texmelucan,020,8117.0,1,0
0513,zapoteco,zapoteco de Valles del sur,020,3378.0,3,0
0513,zapoteco,"zapoteco de Valles, de suroeste alto",020,2708.0,1,0
0513,zapoteco,"zapoteco de Valles, del centro",020,212.0,1,1
0513,zapoteco,"zapoteco de Valles, del centro bajo",020,2612.0,1,0
0513,zapoteco,"zapoteco de Valles, del este central",020,8907.0,2,2
0513,zapoteco,"zapoteco de Valles, del este medio",020,12220.5,5,4
0513,zapoteco,"zapoteco de Valles, del noreste",020,5277.0,4,3
0513,zapoteco,"zapoteco de Valles, del noroeste bajo",020,3023.0,3,0
0513,zapoteco,"zapoteco de Valles, del noroeste medio",020,21633.0,7,0
0513,zapoteco,"zapoteco de Valles, del norte central",020,24186.5,15,2
0513,zapoteco,"zapoteco de Valles, del oeste central",020,1774.0,2,0
0513,zapoteco,"zapoteco de Valles, del suroeste central",020,4737.0,6,0
0513,zapoteco,"zapoteco de Valles, del suroeste medio",020,2801.0,4,0
0513,zapoteco,"zapoteco de Valles, noroeste",020,4333.0,6,0
0513,zapoteco,"zapoteco de Valles, norte",020,1066.0,3,0
0513,zapoteco,"zapoteco de Valles, oeste",020,328.0,4,0
0513,zapoteco,zapoteco de Zimatlán de Álvarez,020,448.0,1,0
0513,zapoteco,"zapoteco de la Sierra sur, central",020,11461.5,6,1
0513,zapoteco,"zapoteco de la Sierra sur, del este bajo",020,3019.0,4,2
0513,zapoteco,"zapoteco de la Sierra sur, del norte",020,2244.0,3,1
0513,zapoteco,"zapoteco de la Sierra sur, del sureste alto",020,1596.7,2,2
0513,zapoteco,"zapoteco de la Sierra sur, del sureste bajo",020,641.0,1,1
0513,zapoteco,"zapoteco de la Sierra sur, noreste",020,7586.5,6,2
0513,zapoteco,"zapoteco de la Sierra sur, noroeste",020,1730.5,3,1
0513,zapoteco,"zapoteco de la Sierra sur, noroeste alto",020,4309.0,2,0
0513,zapoteco,"zapoteco de la Sierra sur, noroeste bajo",020,285.5,1,1
0513,zapoteco,"zapoteco de la Sierra sur, noroeste medio",020,2205.5,3,1
0513,zapoteco,"zapoteco de la Sierra sur, oeste bajo",020,3370.0,2,0
0513,zapoteco,zapoteco de la costa central,020,38971.0,8,1
0513,zapoteco,zapoteco de la costa este,020,2569.7,4,3
0513,zapoteco,zapoteco de la costa noreste,020,8203.7,8,1
0513,zapoteco,zapoteco de la costa oeste,020,13964.5,4,2
0513,zapoteco,"zapoteco de la montaña del Istmo, alto",020,2426.0,2,0
0513,zapoteco,"zapoteco de la montaña del Istmo, bajo",020,2913.0,2,0
0513,zapoteco,zapoteco de la planicie costera,020,114181.0,23,0
0513,zapoteco,zapoteco del oeste de Tuxtepec,020,1370.0,3,0
0513,zapoteco,"zapoteco serrano, bajo",020,3208.0,9,1
0513,zapoteco,"zapoteco serrano, del este",020,1044.0,1,1
0513,zapoteco,"zapoteco serrano, del noroeste",020,1002.0,2,0
0513,zapoteco,"zapoteco serrano, del noroeste bajo",020,10826.0,10,1
0513,zapoteco,"zapoteco serrano, del oeste",020,2511.0,6,0
0513,zapoteco,"zapoteco serrano, del oeste medio",020,1268.0,2,0
0513,zapoteco,"zapoteco serrano, del sureste",020,3578.0,5,2
0513,zapoteco,"zapoteco serrano, del sureste alto",020,1782.0,2,1
0513,zapoteco,"zapoteco serrano, del sureste bajo",020,2269.0,4,0
0513,zapoteco,"zapoteco serrano, del sureste medio",020,1598.0,5,2
0514,chatino,chatino central,020,15633.2,8,2
0514,chatino,chatino de Zacatepec,020,869.7,1,1
0514,chatino,chatino occidental alto,020,12730.0,3,0
0514,chatino,chatino occidental bajo,020,3422.5,3,1
0514,chatino,chatino oriental alto,020,1889.0,2,1
0514,chatino,chatino oriental bajo,020,10374.7,4,2
0515,amuzgo,amuzgo alto del este,020,4495.0,1,0
0515,amuzgo,amuzgo bajo del este,020,663.0,1,0
0515,amuzgo,amuzgo del norte,012,29505.0,2,0
0515,amuzgo,amuzgo del sur,012,18654.0,3,0
0516,mixteco,mixteco alto de Valles,020,622.0,3,0
0516,mixteco,mixteco bajo de Valles,020,8980.0,7,0
0516,mixteco,mixteco central,020,4218.0,4,0
0516,mixteco,mixteco central de Guerrero,012,1673.0,1,1
0516,mixteco,mixteco de Atlamajalcingo,012,2488.0,1,0
0516,mixteco,mixteco de Ayutla,012,12494.0,1,0
0516,mixteco,mixteco de Cañada bajo,020,2187.0,5,0
0516,mixteco,mixteco de Cañada central,020,1330.0,4,0
0516,mixteco,mixteco de Chochoapa,012,7261.0,1,1
0516,mixteco,mixteco de Coapanatoyac,012,9479.0,1,0
0516,mixteco,mixteco de Coatzóspam,020,1433.0,1,0
0516,mixteco,mixteco de Guerrero central alto,012,3995.0,2,2
0516,mixteco,mixteco de Guerrero de la costa central,012,183.0,2,0
0516,mixteco,mixteco de Guerrero de la costa este,012,3027.0,3,0
0516,mixteco,mixteco de Guerrero de la costa occidental,012,1225.0,3,0
0516,mixteco,mixteco de Guerrero del este medio,012,7261.0,1,1
0516,mixteco,mixteco de Guerrero del noreste central,012,4280.5,1,1
0516,mixteco,mixteco de Guerrero del norte,012,19249.0,2,0
0516,mixteco,mixteco de Guerrero del norte central,012,2322.0,1,1
0516,mixteco,mixteco de Igualapa,012,1436.0,1,0
0516,mixteco,mixteco de Ixtayutla,020,10105.0,1,0
0516,mixteco,mixteco de Mitlatongo,020,876.0,1,1
0516,mixteco,mixteco de Oaxaca de costa central baja,020,6406.0,2,0
0516,mixteco,mixteco de Oaxaca de la costa central,020,22100.0,7,0
0516,mixteco,mixteco de Oaxaca de la costa noroeste,020,6341.0,2,0
0516,mixteco,mixteco de Oaxaca de la costa oeste central,020,8919.0,2,1
0516,mixteco,mixteco de San Agustín Tlacotepec,020,576.0,1,0
0516,mixteco,mixteco de San Antonio Huitepec,020,1030.0,1,0
0516,mixteco,mixteco de San Antonio Sinicahua,020,1433.0,1,0
0516,mixteco,mixteco de San Juan Tamazola,020,1332.0,1,0
0516,mixteco,mixteco de San Juan Teita,020,298.0,1,0
0516,mixteco,mixteco de San Luis Acatlán,012,14112.0,1,0
0516,mixteco,mixteco de San Mateo Peñasco,020,1742.0,1,0
0516,mixteco,mixteco de San Miguel Piedras,020,699.0,1,0
0516,mixteco,mixteco de San Pablo Tijaltepec,020,2489.0,1,0
0516,mixteco,mixteco de San Pedro Molinos,020,432.0,1,0
0516,mixteco,mixteco de San Pedro Tidaá,020,311.0,1,0
0516,mixteco,mixteco de Santa Cruz Itundujia,020,1030.0,1,0
0516,mixteco,mixteco de Santa Inés de Zaragoza,020,486.0,1,0
0516,mixteco,mixteco de Santa Lucía Monteverde,020,3131.0,1,0
0516,mixteco,mixteco de Santa María Huazolotitlán,020,3180.0,1,0
0516,mixteco,mixteco de Santa María Peñoles,020,7357.0,1,0
0516,mixteco,mixteco de Santa María Yosoyúa,020,1357.0,1,0
0516,mixteco,mixteco de Santiago Amoltepec,020,7092.0,1,0
0516,mixteco,mixteco de Santo Domingo Tonalá,020,1411.0,1,0
0516,mixteco,mixteco de Sierra sur noroeste,020,7297.0,3,0
0516,mixteco,mixteco de Sierra sur oeste,020,3052.0,2,0
0516,mixteco,mixteco de Tlacoachistlahuaca,012,10535.0,1,0
0516,mixteco,mixteco de Tlahuapa,012,4280.5,1,1
0516,mixteco,mixteco de Tlalixtaquilla de Maldonado,012,1295.0,1,0
0516,mixteco,mixteco de Tlaltempan,021,417.0,1,0
0516,mixteco,mixteco de Villa de Tututepec,020,1305.0,1,0
0516,mixteco,mixteco de Xochapa,012,4280.5,1,1
0516,mixteco,mixteco de Xochistlahuaca,012,1541.0,1,0
0516,mixteco,mixteco de Xonacatlán,012,4280.5,1,1
0516,mixteco,mixteco de Yosondúa,020,1802.0,1,0
0516,mixteco,mixteco de Yosonotú,020,1000.0,1,0
0516,mixteco,mixteco de Yutanduchi de Guerrero,020,921.0,1,0
